10344	305
10687	415
10729	106
11309	114
11768	111
11815	181
12217	405
12313	292
12509	23
12649	123
13024	221
13886	66
13990	296
14278	152
14333	383
14508	236
14514	154
14527	99
14619	434
15160	249
15792	297
15800	376
16037	110
16706	99
16785	262
16814	461
16847	383
16934	335
16970	307
16989	145
17121	368
17265	212
17304	214
17362	239
17484	134
17535	339
18018	431
18259	409
18464	254
18910	224
18911	13
19197	86
19298	397
20880	185
21237	270
21304	184
21329	107
21751	307
22551	101
22564	242
23122	65
24451	96
24554	484
24755	18
24886	409
24940	130
25178	340
25284	394
25532	143
25854	168
26247	355
26371	334
26608	69
26665	7
26933	251
26991	160
27241	95
27386	267
27399	479
27591	359
27612	476
28052	302
28363	409
28363	412
28460	461
28574	391
28661	300
28704	162
28902	7
28994	264
29081	76
29246	494
29492	402
29804	111
29986	276
30207	58
30290	201
30479	104
30610	337
31040	209
31139	83
31150	90
31397	274
31682	479
31772	87
31803	122
31945	441
31951	170
31999	303
32421	491
32532	305
33065	212
33223	188
33352	427
33359	226
33410	331
33577	350
33876	55
33950	423
34049	280
34101	349
34196	392
34366	200
34578	399
34593	6
34594	493
34614	408
34920	454
35244	14
35260	312
35351	107
35742	294
35798	187
35893	68
36152	91
36366	144
36478	477
36735	278
36835	207
36849	280
37128	369
37172	111
38191	369
38329	469
38434	384
38454	341
38487	361
39070	22
39104	409
39265	275
39327	218
39556	383
39681	202
41626	450
41772	23
42017	278
42107	21
42230	296
42738	421
42806	26
43028	289
43151	63
43354	139
43430	370
43454	171
43681	299
44118	313
44314	257
44430	452
44525	125
45286	453
45400	194
46640	46
46956	146
47177	41
47223	30
47268	457
47418	271
47518	450
48160	129
48407	221
48416	486
48598	67
48980	197
48991	33
49160	453
49376	355
49446	366
50211	200
50219	91
50490	184
50564	400
50716	47
50733	310
50771	300
50874	80
51040	337
51192	120
51378	163
51668	430
51727	17
52003	259
52010	221
52112	159
52547	202
53192	441
53308	28
53488	128
53489	421
53732	1
53768	321
53995	96
54064	218
54121	369
54152	60
54207	172
54210	350
54496	400
54868	58
55177	367
55276	14
55297	477
55587	306
56163	436
56617	221
56707	375
56814	369
57554	262
57676	161
57814	55
58461	182
58716	421
58803	393
58965	408
59350	84
59354	84
59727	214
59836	341
59862	192
60066	282
60109	365
60423	365
60866	439
61123	246
61216	272
61276	354
61636	441
62338	448
62399	215
62854	449
62930	222
62993	264
63487	256
63546	312
64104	402
64340	167
64821	345
64847	426
64854	108
65077	493
65144	229
65177	91
65974	215
66133	306
66436	189
66442	289
67069	116
67137	129
67321	310
67545	121
67739	226
67848	430
68129	228
68166	109
68201	236
68571	69
68614	343
69040	341
69145	172
69197	453
69357	65
70359	276
70921	437
71306	276
71434	188
72050	17
72547	140
72661	270
72907	471
72989	461
73163	255
73166	450
73234	386
73310	161
73496	309
73754	345
74071	331
74737	362
74834	230
74947	58
75409	55
76113	243
76488	83
76627	376
76698	222
76883	228
77017	309
78106	177
78131	449
78169	285
78231	375
78300	421
78429	36
79085	62
79243	251
79762	159
80069	153
80152	390
80219	365
80240	45
80253	492
80339	399
80558	399
80820	259
80892	259
81152	177
81515	362
81995	53
82959	477
83099	216
83240	362
84191	196
84445	7
84546	483
84618	139
84942	448
84999	271
85055	20
85708	146
85771	228
86196	388
86336	84
86468	262
86472	245
86518	187
86571	164
86598	161
86622	144
86736	167
86898	370
87405	457
87488	350
87903	324
88538	177
88572	371
88802	472
88851	405
89133	489
89366	271
89411	54
89419	195
89424	184
89461	100
89856	454
90712	387
90810	345
90870	292
90973	482
91392	184
91521	430
91931	187
92051	330
92109	274
92240	264
92398	95
92941	343
93304	216
93733	397
93890	87
94028	162
94369	392
94519	299
94755	172
94784	143
94789	54
95139	375
95320	238
95873	34
96159	220
96314	195
96364	121
96586	488
97040	22
97053	385
97225	203
97429	370
97458	46
97522	396
97577	303
97881	137
97921	266
98220	412
98633	275
98636	426
98687	196
98803	204
98818	455
99240	285
99337	60
99585	399
